"PIN","PARTYPE","ZVALUE","UPDATE","MAJOR","MINOR","PRES_USE","PRES_USE_D","PROP_TYPE","LOT_SQFT","PLAT_LOT","PLAT_BLOCK","PLAT_NAME","TAXPAYER","HOUSE","ADDRS_FULL","PU_CAT_DES","ADDRS_ST","PROP_NAME","PARCL_AREA","DEV_AREA","BLDG_SF","LU","LU_DETAIL","ZONING","ZONE_CAT","PUB_OR_PRI","HOUS_UNITS","YR_BUILT","SF_PR_UNIT","STS_RES_DV","BLT_FAR","MAX_RS_FAR","MAX_FAR","MAX_FAR_SF","POT_UNITS","IMP_VAL_15","LND_VAL_15","TOT_VAL_15","FAR_FACTOR","UNDER_DEV","REC_LEVEL","SCORE_1","SCORE_1DA","SCORE_1PA","SCORE_1DB","SCORE_1PB","RLTIONSHIP","SCORE_2","SCORE_2DA","SCORE_2PA","SCORE_2DB","SCORE_2PB","WILL_SELL","SCORE_3","SCORE_3DA","SCORE_3PA","SCORE_3DB","SCORE_3PB","POT_UNIT52","SCORE_D1","SCORE_D1DA","SCORE_D1DB","CST_UNIT_D","SCORE_D2","SCORE_D2DA","SCORE_D2DB","NO_BLDG","SCORE_D3","SCORE_D3DA","SCORE_D3DB","HIST_BLDG","SCORE_P1","SCORE_P1PA","SCORE_P1PB","VCNT_BLDG","SCORE_P2","SCORE_P2PA","SCORE_P2PB","CST_UNIT_P","SCORE_P3","SCORE_P3PA","SCORE_P3PB","COND_CMBND","SCORE_P4","SCORE_P4PA","SCORE_P4PB","INDEX_D_A","INDEX_D_B","INDEX_P_A","INDEX_P_B","INDEX_PM","ERROR_DO","ERROR_PM","FILTER_DO","FILTER_PO","NEW_S_1DB","NEW_S_2DB","NEW_S_3DB","NEW_S_D1DB","NEW_S_D2DB","NEW_S_D3DB","NEW_S_1PB","NEW_S_2PB","NEW_S_3PB","NEW_S_P1PB","NEW_S_P2PB","NEW_S_P3PB","NEW_S_P4PB","NEW_IDX_DB","NEW_IDX_PB"
"5247801515","PL",NA,NA,"524780","1515",180,"Parking(Commercial Lot)","C",7200,"5","31","MAYNARDS D S PLAT","SWEAZEY INVESTMENTS L L C",NA,NA,"Parking","6TH AVE S","PARKING LOT",7204,7204,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDR 45/125-240","IDR","PRIVATE",0,0,125,"REDEV",0,10,10,72040,72,0,1008000,1008000,"10",NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,36,1,16.67,10.53,23987,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,41.67,39.49,NA,NA,NA,NA,NA,"","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",0,0,0,10.53,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,39.49,NA
"9821700015","PL",NA,NA,"982170","0015",301,"Vacant(Multi-family)","C",39640,"POR","9","YESLER TERRACE ADD","SEATTLE CITY OF DPR",NA,NA,"Vacant","825   YESLER WAY","KOBE TERRACE PARK",44166,44166,0,"Parks/Open Space/Cemeteries","Park, Public(Zoo/Arbor)","IDR 150","IDR","CITY OF SEATTLE",0,0,150,"PUBLIC",0,8,8,353328,348,0,4558600,4558600,"8",NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,221,0.75,NA,NA,17694,1,NA,NA,"TRUE",1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STS_RES_DV =  PUBLIC","LU_DETAIL =  Park, Public(Zoo/Arbor); BLDG_SF =  0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5247801410","PL",NA,NA,"524780","1410",180,"Parking(Commercial Lot)","C",14400,"1-2","29","MAYNARDS D S PLAT","DIAMOND PARKING INC",NA,NA,"Parking","200   4TH AVE S","DIAMOND PARKING",14335,14335,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDR/C 125/150-240","IDR","PRIVATE",0,0,125,"REDEV",0,10,10,143350,143,0,1260000,1260000,"10","Y",NA,0,0,NA,0,NA,"yes",1,16.67,NA,15.79,NA,NA,0,0,NA,0,NA,72,0.75,12.5,7.9,15068,1,16.67,15.79,"TRUE",1,16.67,21.06,NA,0,NA,NA,"N",0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,62.51,60.54,NA,NA,60,NA,NA,"","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",0,15.79,0,7.9,15.79,21.06,NA,NA,NA,NA,NA,NA,NA,60.54,NA
"9820700015","PL",NA,NA,"982070","0015",180,"Parking(Commercial Lot)","C",14400,"7-8","29","YESLER & MC INTOSHS SUPL MAYNARDS","SWEAZEY INVESTMENTS L L C",NA,NA,"Parking","201   5TH AVE S","PARKING LOT",14373,14373,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDR/C 125/150-240","IDR","PRIVATE",0,0,125,"REDEV",0,10,10,143730,144,0,2016000,2016000,"10","Y",NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,21.06,NA,72,0.75,12.5,7.9,24045,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,"N",0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,54.17,57.92,NA,NA,60,NA,NA,"","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",0,0,21.06,7.9,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,57.92,NA
"9820700090","PL",NA,NA,"982070","0090",11,"Apartment","C",7200,"1","32 &","YESLER & MC INTOSHS SUPL MAYNARDS","ASCONA APARTMENTS LLC","200","200          5TH                       AVE  S  98104","Multi-Family","200   5TH AVE S","ASCONA APTS",7208,7208,40420,"Multi-Family","Apartment(Subsidized)","IDR 45/125-240","IDR","PRIVATE",57,1979,125,"DEVELOPED",5.6,10,10,72080,72,5992000,1008000,7000000,"10",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,36,1,16.67,10.53,166482,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,148936,0.75,10.71,10.23,0.6,0.75,10.71,10.23,16.67,10.53,21.42,20.46,NA,NA,NA,"","",0,0,0,10.53,0,0,0,0,0,0,0,10.23,10.23,10.53,20.46
"5247801570","PL",NA,NA,"524780","1570",180,"Parking(Commercial Lot)","C",4320,"8","32","MAYNARDS D S PLAT","HASHIMOTO KAY",NA,NA,"Parking","S WASHINGTON ST","PARKING LOT",4325,4325,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDR 45/125-240","IDR","PRIVATE",0,0,125,"REDEV",0,10,10,43250,43,0,604800,604800,"10","Y",NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,22,1,16.67,10.53,23972,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,"N",0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,41.67,39.49,NA,NA,60,NA,NA,"","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",0,0,0,10.53,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,39.49,NA
"5247801565","PL",NA,NA,"524780","1565",180,"Parking(Commercial Lot)","C",2880,"8","32","MAYNARDS D S PLAT","DIAMOND FAMILY INVT 75-7502",NA,NA,"Parking","6TH AVE S","PARKING LOT",2880,2880,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDR 45/125-240","IDR","PRIVATE",0,0,125,"REDEV",0,10,10,28800,29,0,403200,403200,"10","Y",NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,14,0,0,0,24000,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,"N",0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,25,28.96,NA,NA,60,NA,NA,"","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",0,0,0,0,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,28.96,NA
"5247802005","PL",NA,NA,"524780","2005",11,"Apartment","C",15360,"1 & 8","43","MAYNARDS D S PLAT","METROPOLITAN ASSOCIATES LLC","601","601       S  WASHINGTON                ST      98104","Multi-Family","601  S WASHINGTON ST","METROPOLITAN PARK",15334,15334,58015,"Multi-Family","Apartment","IDR 150","IDR","PRIVATE",83,2001,150,"DEVELOPED",3.8,8,8,122672,123,18426400,2073600,20500000,"8",NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,77,0.75,12.5,7.9,229183,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,336066,0,0,0,1,1,14.29,13.63,12.5,7.9,14.29,13.63,NA,NA,NA,"","",0,0,0,7.9,0,0,0,0,0,0,0,0,13.63,7.9,13.63
"9820700095","PL",NA,NA,"982070","0095",183,"Restaurant/Lounge","C",7200,"2","32 &","YESLER & MC INTOSHS SUPL MAYNARDS","YOOK SENG INVESTMENT CO LLC","206","206          5TH                       AVE  S  98104","Retail/Service","206   5TH AVE S","TENOCH MEXICAN GRILL & MANILLA BAY",7208,7208,4570,"Commercial/Mixed-Use","Restaurant/Lounge","IDR 45/125-240","IDR","PRIVATE",0,1970,125,"REDEV",0.6,10,10,72080,72,1000,1008000,1009000,"10",NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,36,1,16.67,10.53,23997,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,NA,0,NA,NA,168167,0.5,NA,NA,1,1,NA,NA,25,18.43,NA,NA,NA,NA,NA,"","LU_DETAIL =  Restaurant/Lounge",0,0,0,10.53,7.9,0,NA,NA,NA,NA,NA,NA,NA,18.43,NA
"5247801560","PL",NA,NA,"524780","1560",180,"Parking(Commercial Lot)","C",7200,"7","32","MAYNARDS D S PLAT","CAPSTONE REALTY ADVRS LLC",NA,NA,"Parking","6TH AVE S","PARKING",7206,7206,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDR 45/125-240","IDR","PRIVATE",0,0,125,"REDEV",0,10,10,72060,72,0,1008000,1008000,"10","Y",NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,36,1,16.67,10.53,23980,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,"N",0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,41.67,39.49,NA,NA,60,NA,NA,"","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",0,0,0,10.53,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,39.49,NA
"5247802015","PL",NA,NA,"524780","2015",18,"Apartment(Subsidized)","C",23040,"2-3-4","43","MAYNARDS D S PLAT","SEATTLE HOUSING AUTHORITY","202","202          6TH                       AVE  S  98104","Multi-Family","202   6TH AVE S","INTERNATIONAL TERRACE-EXEMPT",23016,23016,76094,"Multi-Family","Apartment(Subsidized)","IDR 150","IDR","PUBLIC",100,1995,150,"PUBLIC",3.3,8,8,184128,184,14953400,2649600,17603000,"8",NA,NA,0,NA,0,NA,0,"yes",1,NA,14.29,NA,13.63,NA,0,NA,0,NA,0,115,0.75,NA,NA,131111,0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,0,0,0,288574,0,0,0,1,1,14.29,13.63,NA,NA,28.58,27.26,NA,NA,NA,"STS_RES_DV =  PUBLIC","",NA,NA,NA,NA,NA,NA,0,13.63,0,0,0,0,13.63,NA,27.26
"5247802030","PL",NA,NA,"524780","2030",309,"Vacant(Commercial)","C",15360,"6-7","43","MAYNARDS D S PLAT","WOO TERESA L+CLINTON B",NA,NA,"Vacant","S MAIN ST","DANNY WOO INT. DIST. COMMUNITY GARDEN",15337,15337,0,"Vacant","Vacant(Commercial)","IDR 150","IDR","PRIVATE",0,0,150,"VACANT",0,8,8,122696,123,0,15300,15300,"8",NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,15.79,NA,NA,0,0,NA,0,NA,77,0.75,12.5,7.9,171,1,16.67,15.79,"TRUE",1,16.67,21.06,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,62.51,60.54,NA,NA,NA,"Y",NA,"","LU_DETAIL =  Vacant(Commercial); BLDG_SF =  0",0,15.79,0,7.9,15.79,21.06,NA,NA,NA,NA,NA,NA,NA,60.54,NA
"5247801430","PL",NA,NA,"524780","1430",101,"Retail Store","C",3595,"3-4","29","MAYNARDS D S PLAT","TOBIN LARRY & JUDITH","216","216          4TH                       AVE  S  98104","Retail/Service","216   4TH AVE S","TAVERN & Restaurant",3602,3602,3600,"Commercial/Mixed-Use","Retail Store","IDR/C 125/150-240","IDR","PRIVATE",0,1955,125,"REDEV",1,10,10,36020,36,1000,503300,504300,"10",NA,NA,0,0,NA,0,NA,"yes",1,16.67,NA,15.79,NA,NA,0,0,NA,0,NA,18,0,0,0,24001,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,NA,0,NA,NA,100860,0.75,NA,NA,NA,0,NA,NA,25,23.69,NA,NA,NA,NA,NA,"","LU_DETAIL =  Retail Store",0,15.79,0,0,7.9,0,NA,NA,NA,NA,NA,NA,NA,23.69,NA
"5247801440","PL",NA,NA,"524780","1440",180,"Parking(Commercial Lot)","C",7200,"3-4","29","MAYNARDS D S PLAT","INTERIM COMMUNITY DEVELOPME",NA,NA,"Parking","4TH AVE S","PARKING",6929,6929,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDR/C 125/150-240","IDR","PRIVATE",0,0,125,"REDEV",0,10,10,69290,69,0,974400,974400,"10",NA,"N",0.75,12.5,NA,11.85,NA,"yes",1,16.67,NA,15.79,NA,NA,0,0,NA,0,NA,35,1,16.67,10.53,24107,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,54.17,46.07,NA,NA,NA,"Y",NA,"","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",11.85,15.79,0,10.53,7.9,0,NA,NA,NA,NA,NA,NA,NA,46.07,NA
"5247801461","PL",NA,NA,"524780","1461",180,"Parking(Commercial Lot)","C",14400,"5-6","29 &","MAYNARDS D S PLAT","ALTO PARTNERSHIP",NA,NA,"Parking","420  S MAIN ST","PARKING LOT",14336,14336,0,"Commercial/Mixed-Use","Parking(Commercial Lot)","IDR/C 125/150-240","IDR","PRIVATE",0,0,125,"REDEV",0,10,10,143360,143,0,2016000,2016000,"10","Y",NA,0,0,NA,0,NA,"yes",1,16.67,NA,15.79,NA,NA,0,0,NA,0,NA,72,0.75,12.5,7.9,24107,0.5,8.33,7.9,"TRUE",1,16.67,21.06,NA,0,NA,NA,"N",0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,54.17,52.65,NA,NA,60,NA,NA,"","LU_DETAIL =  Parking(Commercial Lot); BLDG_SF =  0",0,15.79,0,7.9,7.9,21.06,NA,NA,NA,NA,NA,NA,NA,52.65,NA
"9820700100","PL",NA,NA,"982070","0100",106,"Office Building","C",7200,"3","32 &","YESLER & MC INTOSHS SUPL MAYNARDS","214 BUILDING LLC","214","214          5TH                       AVE  S  98104","Office","214   5TH AVE S","OFFICE BUILDING",7208,7208,1870,"Commercial/Mixed-Use","Office Building","IDR 45/125-240","IDR","PRIVATE",0,1968,125,"REDEV",0.3,10,10,72080,72,1000,1008000,1009000,"10","Y","N",0.75,12.5,NA,11.85,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,36,1,16.67,10.53,23997,0.5,8.33,7.9,NA,0,0,0,NA,0,NA,NA,"N",0,NA,NA,NA,0,NA,NA,1,1,NA,NA,37.5,30.28,NA,NA,60,NA,NA,"","LU_DETAIL =  Office Building",11.85,0,0,10.53,7.9,0,NA,NA,NA,NA,NA,NA,NA,30.28,NA
"8592400055","PL",NA,NA,"859240","0055",96,"Retail(Line/Strip)","C",14200,"1-2-3-4 &","2","TERRYS 4TH SUPL BLK 1-S 1/2 BLK 2","NGUYEN FAMILY LP","200","200          12TH                      AVE  S  98144","Retail/Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,1,1,NA,NA,0,0,NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA
